glycosample_id	GS_32	
glycosample_entry	GS_32_E1	GS_32_E2
pmid	3944106	4038696
journal_name	J Biol Chem.	Invest Ophthalmol Vis Sci.
journal_site	Tanoguchi T._et al_Fig.4	Adler and Evans_materials and methods
journal_title	The structures of the asparagine-linked sugar chains of bovine interphotoreceptor retinol-binding protein. Occurrence of fucosylated hybrid-type oligosaccharides.	Some functional characteristics of purified bovine interphotoreceptor retinol-binding protein.
description		
organism	bovine	bovine
taxonomy_name	Bos taurus (Bovine)	Bos taurus (Bovine)
taxonomy_id	9913	9913
bioproject id		
strain		
breed		
cultivar		
isolate label		
biomaterial_provider		
collection_date		
host		
subspecf_gen_lin		
tissue_type		
age		not data
anamorph		
authority		
recombinant_information		
cell_line		
cell_type		
collected_by		
culture_collection		
dev_stage		
disease		not data
stage		not data
genotype		
haplotype		
health_state		not data
host_body_site		
isolation_source		local meat packers
lab_host		
passage_history		
pathovar		
phenotype		
sample_type	see PMID:4038696	adult bovine eyes
serotype		
serovar		
sex		not data
specimen_voucher		
subgroup		
subtype		
teleomorph		
