glycosample_id	GS_42
glycosample_entry	GS_42_E1
pmid	2536709
journal_name	J Biol Chem. 
journal_site	Yamashita K._et_al_Table4
journal_title	Altered glycosylation of serum transferrin of patients with hepatocellular carcinoma.
description	
organism	human
taxonomy_name	Homo sapiens (Human)
taxonomy_id	9606
bioproject_id	
grant	Grants-in-aid for spacial project research (Cancer-Bioscience) from Ministry of Education, Science and Culture of Japan.
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	
collection_date	
host	
subspecf_gen_lin	
tissue_type	
age	62, 68, 65, and 53 years old
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	hepatocellular carcinoma with liver cirrhosis
disease_stage	
genotype	
haplotype	
health_state	
host_body_site	
isolation_source	4 patients, (HT *2:62, NA *2:68, OY *1, *2:65, HH *1, *2:53)
lab_host	
passage_history	
pathovar	
phenotype	
sample_type	serum
serotype	
serovar	
sex	male
specimen_voucher	
subgroup	
subtype	
teleomorph	
