glycosample_id	GS_3
glycosample_entry	GS_3_E1
pmid	2209620
journal_name	Eur. J. Biochem.
journal_site	 Weisshaar G._et_al_Table2
journal_title	Site-specific N-glycosylation of ovine lutropin. Structural analysis by one- and two-dimensional 1H-NMR spectroscopy.
description	
organism	Ovine
taxonomy_name	Ovis aries
taxonomy_id	9940
bioproject_id	
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	National Hormone and Pituitary Program, University of Maryland School of Medicine and the National Institute of Arthritis, Diabetes and Digestive and Kidney Diseases, USA
collection_date	not data
host	
subspecf_gen_lin	
tissue_type	
age	not data
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	
disease_stage	
genotype	
haplotype	
health_state	not data
host_body_site	
isolation_source	not data
lab_host	
passage_history	
pathovar	
phenotype	
sample_type	
serotype	
serovar	
sex	not data
specimen_voucher	
subgroup	
subtype	
teleomorph	
