glycosample_id	GS_9
glycosample_entry	GS_9_E1
pmid	10764840
journal_name	Glycobiology
journal_site	Cointe D._et_al_Table1
journal_title	Unusual N-glycosylation of a recombinant human erythropoietin expressed in a human lymphoblastoid cell line does not alter its biological properties.
description	
organism	
taxonomy_name	
taxonomy_id	
bioproject_id	
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	
collection_date	not data
host	
subspecf_gen_lin	
tissue_type	
age	
anamorph	
authority	
recombinant_information	human B lymphoblastoid RPMI 1788 cells (ACTT number CCL 156)
cell_line	RPMI 1788 cells (human lymphoblastoid cell line) was produced from human B RPMI 1788 cells.
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	
disease_stage	
genotype	
haplotype	
health_state	
host_body_site	
isolation_source	
lab_host	
passage_history	
pathovar	
phenotype	
sample_type	human gene for EPO
serotype	
serovar	
sex	
specimen_voucher	
subgroup	
subtype	
teleomorph	
