glycosample_id	GS_15	
glycosample_entry	GS_15_E1	GS_15_E2
pmid	3624241	4736590
journal_name	J Biol Chem. 	J Biol Chem. 
journal_site	Fukuda M._et_al_Table2	Fukuda M. and Osawa T._Materials and Methods
journal_title	Structures of novel sialylated O-linked oligosaccharides isolated from human erythrocyte glycophorins.	Isolation and characterization of a glycoprotein from human group O erythrocyte membrane.
description		
organism	human	
taxonomy_name	Homo sapiens	
taxonomy_id	9606	
bioproject_id		
strain		
breed		
cultivar		
isolate_label		
biomaterial_provider		
collection_date		
host		
subspecf_gen_lin		
tissue_type		
age		not data
anamorph		
authority		
recombinant_information		
cell_line		
cell_type		
collected_by		
culture_collection		
dev_stage		
disease		not data
disease_stage		not data
genotype		
haplotype		
health_state		not data
host_body_site		not data
isolation_source		Nihon seiyaku Co, Tokyo.
lab_host		
passage_history		
pathovar		
phenotype		
sample_type	see PMID:4736590	blood group O-type individuals
serotype		
serovar		
sex		
specimen_voucher		
subgroup		
subtype		
teleomorph		
