glycosample_id	GS_4	
glycosample_entry	GS_4_E1	GS_4_E2
pmid	3219367	3838366
journal_name	Biochemistry	Nature
journal_site	Sasaki H._et_al_Table1	Jakobs K. et_al_
journal_title	Site-specific glycosylation of human recombinant erythropoietin: analysis of glycopeptides or peptides at each glycosylation site by fast atom bombardment mass spectrometry.	Isolation and characterization of genomic and cDNA clones of human erythropoietin.
description		
organism		
taxonomy_name		
taxonomy_id		
bioproject_id		
strain		
breed		
cultivar		
isolate_label		
biomaterial_provider		
collection_date	not data	not data
host		bacteriophage λ43
subspecf_gen_lin		
tissue_type		
age	not data	not data
anamorph		
authority		
recombinant_information		see PMID:3838366
cell_line	Chinese Hamster ovary cells (transfected with an expression vector containing the human erthropietin cDNA)	
cell_type		
collected_by		
culture_collection		
dev_stage		
disease	not data	not data
disease_stage	not data	not data
genotype		
haplotype		
health_state	not data	not data
host_body_site	not data	not data
isolation_source		
lab_host	not data	
passage_history		not data
pathovar		
phenotype		
sample_type	human erthropietin cDNA	human genomic DNA
serotype		
serovar		
sex		
specimen_voucher		
subgroup		
subtype		
teleomorph		
