glycosample_id	GS_28
glycosample_entry	GS_28_E1
pmid	4074713
journal_name	Biochemistry. 
journal_site	Taniguchi T._et_al_Fig.3
journal_title	Structures of the sugar chains of rabbit immunoglobulin G: occurrence of asparagine-linked sugar chains in Fab fragment.
description	
organism	rabbit
taxonomy_name	Oryctolagus cuniculus (Rabbit)
taxonomy_id	9986
bioproject_id	
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	not data
collection_date	
host	
subspecf_gen_lin	
tissue_type	pooled nonimmune rabbit sera
age	not data
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	not data
disease_stage	not data
genotype	
haplotype	
health_state	not data
host_body_site	
isolation_source	
lab_host	
passage_history	not data
pathovar	
phenotype	
sample_type	
serotype	
serovar	
sex	not data
specimen_voucher	
subgroup	
subtype	
teleomorph	
