glycosample_id	GS_37		
glycosample_entry	GS_37_E1	GS_37_E2	GS_37_E3
pmid	3335536	3930453	2957051
journal_name	J Biol Chem.	Jpn J Cancer Res.	Cancer Res
journal_site	Amano J._et_al_Table4	Mizuochi T_et_al_Fig.4	Endo T._et_al_materials methods
journal_title	Comparative study of the mucin-type sugar chains of human chorionic gonadotropin present in the urine of patients with trophoblastic diseases and healthy pregnant women.	Comparison of carbohydrate structure between human chorionic gonadotropin present in urine of patients with trophoblastic diseases and healthy individuals.	Structural differences found in the asparagine-linked sugar chains of human chorionic gonadotropins purified from the urine of patients with invasive mole and with choriocarcinoma.
description			
organism	human	human	human
taxonomy_name	Homo sapiens (Human)	Homo sapiens (Human)	Homo sapiens (Human)
taxonomy_id	9606	9606	9606
bioproject_id			
grant	Grants-in-Aid for Special Project Research (Cancer-Bioscience) from the Ministry of Education, Science and Culture of Japan.		
strain			
breed			
cultivar			
isolate_label			
biomaterial_provider		Kobe University Hospital	Kobe University Hospital
collection_date			
host			
subspecf_gen_lin			
tissue_type			
age		not data	34 years old, 48 years old
anamorph			
authority			
recombinant_information			
cell_line			
cell_type			
collected_by			
culture_collection			
dev_stage			
disease		complete hydatidiform mole	invasive mole
disease_stage		not data	
genotype			
haplotype			
health_state		pregnant	pregnant
host_body_site			
isolation_source		Three patients (Yam, Ito, and Ama) were referred to Kobe University Hospital	Two patients (SHI  *3and KAM *4) were referred to Kobe University Hospital
lab_host			
passage_history		not data	
pathovar			
phenotype			
sample_type	see PMID3930453, 2957051	urine	
serotype			
serovar			
sex		female	
specimen_voucher			
subgroup			
subtype			
teleomorph			
