glycosample_id	GS_2	
glycosample_entry	GS_2_E1	GS_2_E2
pmid	1991473	2373987
journal_name	Eur. J. Biochem. 	J. Endocrinol.
journal_site	Weisshaar G._et_al_Table4	Hiyama J._et_al_Materials and Methods
journal_title	NMR investigations of the N-linked oligosaccharides at individual glycosylation sites of human lutropin.	Purification of human pituitary LH and thyrotrophin by hydrophobic chromatography.
description		
organism	Human	Human
taxonomy_name	Homo sapiens	Homo sapiens
taxonomy_id	9606	9606
bioproject_id		
strain		
breed		
cultivar		
isolate_label		
biomaterial_provider		national pituitary collection programme (sponsored by the Department of Health and the Medical Research Council of New Zwaland)
collection_date	not data	not data
host		
subspecf_gen_lin		
tissue_type	human pituitary glands	
age	not data	not data
anamorph		
authority		
recombinant_information		
cell_line		
cell_type		
collected_by		
culture_collection		
dev_stage		
disease	not data	not data
disease_stage	not data	not data
genotype		
haplotype		
health_state	different health	not data
host_body_site	brain	not data
isolation_source	different individuals	not data
lab_host		
passage_history	not data	not data
pathovar		
phenotype		
sample_type		
serotype		
serovar		
sex	male, female	not data
specimen_voucher		
subgroup		
subtype		
teleomorph		
