glycosample_id	GS_40		
glycosample_entry	GS_40_E1	GS_40_E2	GS_40_E3
pmid	2529489	4340161	175288
journal_name	Pigment Cell Res.	Proc Natl Acad Sci U S A.	Nature
journal_site	Kobata A._Fig3	Warren L._et_al materials and methods	Ogata SI._et_al
journal_title	Altered glycosylation of surface glycoproteins in tumor cells and its clinical application.	Surface glycoproteins of normal and transformed cells: a difference determined by sialic acid and a growth-dependent sialyl transferase.	New structural characteristic of the large glycopeptides from transformed cells.
description			
organism	hamster	hamster	hamster
taxonomy_name	Cricetinae (hamsters)	Cricetinae (hamsters)	Cricetinae (hamsters)
taxonomy_id	10026	10026	10026
bioproject_id		Surface glycoproteins of normal and transformed cells: a difference determined by sialic acid and a growth-dependent sialyl transferase.	
grant	Grants-in-Aids Special Project Research (Cancer-Bioscience) from the Ministry of Education, Science and Culture of Japan.		
strain			
breed			
cultivar			
isolate_label			
biomaterial_provider			
collection_date			
host			
subspecf_gen_lin			
tissue_type			
age			
anamorph			
authority			
recombinant_information			
cell_line	Py-BHK cells derived from BHK cells transformed by polyoma virus	processing of BHK21-C13 cells, those transformed with the Bryan strain of Rous sarcoma virus (C13-B4), and those transformed by polyoma virus (Py Y).	cells transformed by a temperature-sensitive (ts) mutant of Rous sacoma virus
cell_type			
collected_by			
culture_collection	not data	not data	not dtata
dev_stage			
disease			
disease_stage			
genotype			
haplotype			
health_state			
host_body_site			
isolation_source	baby hamster kidney cells, see PMID:4340161, 175288	baby hamster kidney cells 	surface of normal and transformed cells
lab_host			
passage_history			
pathovar			
phenotype			
sample_type			
serotype			
serovar			
sex			
specimen_voucher			
subgroup			
subtype			
teleomorph			
