glycosample_id	GS_50	
glycosample_entry	GS_50_E1	GS_50_E2
pmid	9613818	6088518
journal_name	Glycoconj J.	J Biol Chem.
journal_site	Kobata A._Table2	Yamashikta L._et_al_materials and methods
journal_title	A retrospective and prospective view of glycopathology.	Comparative study of the oligosaccharides released from baby hamster kidney cells and their polyoma transformant by hydrazinolysis.
description		
organism	hamster	hamster
taxonomy_name	Cricetinae (hamsters)	Cricetinae (hamsters)
taxonomy_id	10026	10026
bioproject_id		
strain		
breed		
cultivar		
isolate_label		
biomaterial_provider		
collection_date		
host		
subspecf_gen_lin		
tissue_type		
age		not data
anamorph		
authority		
recombinant_information		
cell_line		
cell_type		
collected_by		
culture_collection		
dev_stage		
disease		not data
disease_stage		
genotype		
haplotype		
health_state		not data
host_body_site		
isolation_source		
lab_host		
passage_history		
pathovar		
phenotype		
sample_type	see PMID:6088518	baby hamster kidney (BHK) cells and their polyoma transformant (py-BHK)
serotype		
serovar		
sex		not data
specimen_voucher		
subgroup		
subtype		
teleomorph		
