glycosample_id	GS_1
glycosample_entry	GS_1_E1
pmid	1820200
journal_name	Glycobiology
journal_site	Weisshaar G._et_al_Fig.6
journal_title	Site-specific N-glycosylation of human chorionic gonadotrophin--structural analysis of glycopeptides by one- and two-dimensional 1H NMR spectroscopy.
description	
organism	Human
taxonomy_name	Homo sapiens
taxonomy_id	9606
bioproject_id	
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	National Hormone and Pituitary Program (NHPP), University of Maryland School of Medicine, and the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK), USA
collection_date	not data
host	
subspecf_gen_lin	
tissue_type	biologically active urinary (NIDDK CR127)
age	not data
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	not data
disease_stage	not data
genotype	
haplotype	
health_state	not data
host_body_site	
isolation_source	not data
lab_host	
passage_history	not data
pathovar	
phenotype	
sample_type	
serotype	
serovar	
sex	not data
specimen_voucher	
subgroup	
subtype	
teleomorph	
