glycosample_id	GS_39		
glycosample_entry	GS_39_E1	GS_39_E2	GS_39_E3
pmid	3182859	758928	26810
journal_name	J Biol Chem.	Br J Cancer.	J Virol. 
journal_site	Kagawa Y._et_al_Table3	Kinjo M._et_al_materials and methods	Lowy DR._et_al_materials and methods
journal_title	Comparative study of the asparagine-linked sugar chains of natural human interferon-beta 1 and recombinant human interferon-beta 1 produced by three different mammalian cells.	Thromboplastic and fibrinolytic activities of cultured human cancer cell lines.	Helper-independent transformation by unintegrated Harvey sarcoma virus DNA.
description			
organism			
taxonomy_name			
taxonomy_id			
bioproject_id			
grant	Grant-in-Aid for Scientific Research from the Ministry of Education, Science, and Culture of Japan.		
strain			
breed			
cultivar			
isolate_label			
biomaterial_provider			
collection_date			
host	see PMID:758928, 26810	pMTV (ha, SV, r) vector/human PC8 lung adenocarcinoma cells, 	pSV2IFNβ/AdDHFR vector/CHO cells, and pSV2IFN(r)β/BPV97 vector/mouse C127 epithelial cells deriverd from brest carcinoma.
subspecf_gen_lin			
tissue_type			
age		not data	not data
anamorph			
authority			
recombinant_information			
cell_line		see Table 1 of PMID:758928	
cell_type			
collected_by			
culture_collection			
dev_stage			
disease		not data	not data
disease_stage		not data	not data
genotype			
haplotype			
health_state		not data	not data
host_body_site		not data	not data
isolation_source			
lab_host			
passage_history			
pathovar			
phenotype			
sample_type	see PMID758928, 26810		
serotype			
serovar			
sex		not data	not data
specimen_voucher			
subgroup			
subtype			
teleomorph			
