glycosample_id	GS_5	
glycosample_entry	GS_5_E1	GS_5_E2
pmid	1457969	2373987
journal_name	Glycobiology	J. Endocrinol.
journal_site	Hiyama J._et_al_Table2	Hiyama J._et_al_Materials and Methods
journal_title	The asparagine-linked oligosaccharides at individual glycosylation sites in human thyrotrophin.	Purification of human pituitary LH and thyrotrophin by hydrophobic chromatography.
description		
organism	Human	Human
taxonomy_name	Homo sapiens	Homo sapiens
taxonomy_id	9606	9606
bioproject_id		
strain		
breed		
cultivar		
isolate_label		
biomaterial_provider		national pituitary collection programme (sponsored by the Department of Health and the Medical Research Council of New Zwaland)
collection_date	not data	not data
host		
subspecf_gen_lin		
tissue_type		
age	not data	not data
anamorph		
authority		
recombinant_information		
cell_line		
cell_type		
collected_by		
culture_collection		
dev_stage		
disease	not data	not data
disease_stage	not data	not data
genotype		
haplotype		
health_state	not data	not data
host_body_site	not data	not data
isolation_source	not data	not data
lab_host		
passage_history	not data	not data
pathovar		
phenotype		
sample_type		
serotype		
serovar		
sex	not data	not data
specimen_voucher		
subgroup		
subtype		
teleomorph		
