glycosample_id	GS_25
glycosample_entry	GS_25_E1
pmid	3930453
journal_name	Jpn J Cancer Res.
journal_site	Mizuochi T_et_al_Fig.4
journal_title	Comparison of carbohydrate structure between human chorionic gonadotropin present in urine of patients with trophoblastic diseases and healthy individuals.
description	
organism	human
taxonomy_name	Homo sapiens (Human)
taxonomy_id	9606
bioproject_id	
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	Kobe University Hospital
collection_date	
host	
subspecf_gen_lin	
tissue_type	
age	not data
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	complete hydatidiform mole
disease_stage	not data
genotype	
haplotype	
health_state	pregnant
host_body_site	
isolation_source	Three patients (Yam, Ito, and Ama) were referred to Kobe University Hospital
lab_host	
passage_history	not data
pathovar	
phenotype	
sample_type	urine
serotype	
serovar	
sex	female
specimen_voucher	
subgroup	
subtype	
teleomorph	
