glycosample_id	GS_17	
glycosample_entry	GS_17_E1	GS17_E2
pmid	7309709	4633593
journal_name	J Biochem.	Biochim Biophys Acta.
journal_site	Mizuochi T._et_al_Fig.7	Kisiel W, and Hanahan DJ._materials and methods
journal_title	Studies on the structures of the carbohydrate moiety of human prothrombin.	Purification and characterization of human Factor II.
description		
organism	human	
taxonomy_name	Homo sapiens	
taxonomy_id	9606	
bioproject_id		
strain		
breed		
cultivar		
isolate_label		
biomaterial_provider		
collection_date		
host		
subspecf_gen_lin		
tissue_type		
age	not data	
anamorph		
authority		
recombinant_information		
cell_line		
cell_type		
collected_by		
culture_collection		
dev_stage		
disease	not data	
disease_stage	not data	
genotype	 	
haplotype		
health_state	not data	
host_body_site	not data	
isolation_source	not data	
lab_host		
passage_history		
pathovar		
phenotype		
sample_type	human plasma, see PMID4633593	
serotype		
serovar		
sex	not data 	
specimen_voucher		
subgroup		
subtype		
teleomorph		
